Name,Team,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,playerid
William Contreras,ATL,24,20,0.38,0.347,138,3.4,2.4,20503
Willson Contreras,CHC,30,22,0.44,0.364,132,4.2,3.3,11609
J.T. Realmuto,PHI,31,22,0.34,0.351,128,6.9,6.5,11739
Adley Rutschman,BAL,24,13,0.76,0.342,133,4.2,5.3,26288
Will Smith,LAD,27,24,0.58,0.352,127,2.9,3.9,19197
Alejandro Kirk,TOR,23,14,1.09,0.351,129,1.1,3.8,22581
Travis d'Arnaud,ATL,33,18,0.21,0.313,120,2.5,3.9,7739
Sean Murphy,OAK,27,18,0.45,0.344,122,2.7,5.1,19352
Cal Raleigh,SEA,25,27,0.31,0.324,121,2.5,4.2,21534
Salvador Perez,KCR,32,23,0.17,0.326,109,1.5,0.5,7304
Eric Haase,DET,29,14,0.25,0.302,112,2.1,1.3,14111
Christian Vazquez,- - -,31,9,0.32,0.301,99,1.8,1.6,9774
MJ Melendez,KCR,23,18,0.5,0.332,99,3.1,-0.2,22197
Jonah Heim,TEX,27,16,0.47,0.291,99,3.2,2.8,16930
Christian Bethancourt,- - -,30,11,0.15,0.318,101,4,1.9,10028
Keibert Ruiz,WSN,23,7,0.6,0.328,90,3,1.7,19610
Jose Trevino,NYY,29,11,0.24,0.281,91,3.3,3.7,16725
Gary Sanchez,MIN,29,16,0.29,0.321,89,2.3,1.3,11442
Austin Nola,SDP,32,4,0.57,0.305,89,2.5,0.2,15941
Victor Caratini,MIL,28,9,0.46,0.309,84,0.9,1.2,14968
Elias Diaz,COL,31,9,0.3,0.274,67,2.1,-1.4,11680
Carson Kelly,ARI,27,7,0.41,0.288,73,3.4,0.4,13620
Jacob Stallings,MIA,32,4,0.35,0.274,71,1,-0.6,13723
Tomas Nido,NYM,28,3,0.18,0.287,74,1.7,0.9,13755
Martin Maldonado,HOU,35,15,0.19,0.253,70,1.7,0.5,6887
Yasmani Grandal,CHW,33,5,0.57,0.29,68,1,-0.4,11368
Max Stassi,LAA,31,9,0.34,0.266,63,1.9,0,10059
Tucker Barnhart,DET,31,1,0.34,0.244,63,0.6,-0.2,10200
Austin Hedges,CLE,29,7,0.32,0.24,42,2.9,-0.6,12976
