Name,Team,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,playerid
Jose Altuve,HOU,32,28,0.76,0.354,164,5,6.6,5417
Jeff McNeil,NYM,30,9,0.66,0.323,143,3.3,5.9,15362
Andres Gimenez,CLE,23,17,0.3,0.326,140,5.8,6.1,19950
Luis Arraez,MIN,25,8,1.16,0.333,131,3,3.2,18568
Brendan Donovan,STL,25,5,0.86,0.339,129,2.9,2.7,24679
Kolten Wong,MIL,31,15,0.52,0.305,117,6.1,2.5,12532
Jorge Polanco,MIN,28,16,0.67,0.358,119,2.3,1.8,13152
DJ LeMahieu,NYY,33,12,0.94,0.344,116,2.8,3,9874
Gleyber Torres,NYY,25,24,0.3,0.319,115,4.1,2.7,16997
Gavin Lux,LAD,24,6,0.49,0.314,113,6.2,3,19955
Luis Urias,MIL,25,16,0.51,0.326,110,2.3,2.3,16622
Isaac Paredes,TBR,23,20,0.66,0.297,116,1.7,2.4,20036
Christopher Morel,CHC,23,16,0.28,0.324,108,5.9,1.6,21897
Brendan Rodgers,COL,25,13,0.46,0.326,92,2.6,1.7,17907
Jean Segura,PHI,32,10,0.43,0.303,105,4,1.7,5933
Christian Arroyo,BOS,27,6,0.27,0.33,102,4.5,0.2,16434
Jake Cronenworth,SDP,28,17,0.53,0.303,109,4.3,4.1,18036
Tommy Edman,STL,27,13,0.41,0.308,108,7.2,5.6,19470
Thairo Estrada,SFG,26,14,0.37,0.299,106,5.8,2.7,16426
Marcus Semien,TEX,31,26,0.44,0.306,107,6.2,4.2,12533
Ketel Marte,ARI,28,12,0.54,0.315,102,4.2,1.4,13613
Trevor Story,BOS,29,16,0.26,0.301,100,5.4,2.4,12564
Nolan Gorman,STL,22,14,0.27,0.341,107,3,0.5,22263
Jonathan India,CIN,25,10,0.33,0.301,95,3.5,0.4,21523
Luis Rengifo,LAA,25,17,0.22,0.296,103,4,1.6,19858
Wilmer Flores,SFG,30,19,0.57,0.31,103,2.1,1.4,5827
Luis Guillorme,NYM,27,2,0.74,0.302,106,2.9,1.3,16451
Santiago Espinal,TOR,27,7,0.53,0.298,99,2.7,2.3,19997
Josh Harrison,CHW,34,7,0.3,0.284,98,4,1.4,8202
Luis Garcia,WSN,22,7,0.13,0.305,93,2.9,0,20391
Kevin Newman,PIT,28,2,0.33,0.285,94,5.4,1.3,17696
Cavan Biggio,TOR,27,6,0.45,0.288,97,4.9,1.3,19252
Jon Berti,MIA,32,4,0.47,0.306,93,7.7,2.3,12037
Whit Merrifield,- - -,33,11,0.45,0.288,88,5.2,1.5,11281
Bryson Stott,PHI,24,10,0.4,0.284,84,5.5,1.4,26294
Joey Wendle,MIA,32,3,0.3,0.276,87,4.5,1.2,13853
Tony Kemp,OAK,30,7,0.65,0.267,91,5.1,1.5,14894
Cesar Hernandez,WSN,32,1,0.39,0.29,79,5,0.5,10556
Rougned Odor,BAL,28,13,0.29,0.277,80,5.1,0.4,12282
Adam Frazier,SEA,30,3,0.63,0.297,81,4.9,1.1,15223
Nicky Lopez,KCR,27,0,0.46,0.273,57,6.3,1.2,19339
Abraham Toro,SEA,25,10,0.34,0.284,62,4.1,-0.7,19844
Jonathan Schoop,DET,30,11,0.18,0.268,58,4.4,1.5,11265
Nick Allen,OAK,23,4,0.3,0.238,61,3.2,0.5,22277
Leury Garcia,CHW,31,3,0.11,0.258,39,4.3,-1.1,5913
