Name,Team,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,playerid
Yordan Alvarez,HOU,25,37,0.74,0.462,185,3,6.6,19556
Joc Pederson,SFG,30,23,0.42,0.367,144,4,2.1,11899
Eloy Jimenez,CHW,25,16,0.39,0.365,144,1,1.7,17484
Kyle Schwarber,PHI,29,46,0.43,0.375,128,5.2,2.6,16478
Mark Canha,NYM,33,13,0.49,0.323,128,3.1,2.8,11445
Andrew Benintendi,- - -,27,5,0.68,0.334,122,4.1,2.8,17901
Steven Kwan,CLE,24,6,1.03,0.312,124,6.2,4.4,24610
Ian Happ,CHC,27,17,0.39,0.306,120,3.9,3.5,17919
Jake McCarthy,ARI,24,8,0.3,0.298,116,7.6,2.3,21622
Randy Arozarena,TBR,27,20,0.29,0.301,125,5.6,2.7,19290
Christian Yelich,MIL,30,14,0.54,0.339,111,6,2.3,11477
Lourdes Gurriel Jr.,TOR,28,5,0.37,0.321,114,2.7,1,19238
Andrew Vaughn,CHW,24,17,0.32,0.319,113,1.8,-0.4,26197
Chas McCormick,HOU,27,14,0.43,0.325,114,3.8,2,19599
Nick Gordon,MIN,26,9,0.18,0.333,111,4.9,1.5,16337
Jurickson Profar,SDP,29,15,0.71,0.315,110,4,2.5,10815
Alex Verdugo,BOS,26,11,0.49,0.329,103,2.2,1.2,17027
Yadiel Hernandez,WSN,34,9,0.26,0.31,101,2.2,-0.1,19334
David Peralta,- - -,34,12,0.36,0.313,104,2.5,1.7,2136
Austin Hays,BAL,26,16,0.3,0.298,105,3,1.5,19363
Connor Joe,COL,29,7,0.57,0.311,87,5.3,0,16572
Bryan De La Cruz,MIA,25,13,0.21,0.355,104,3.5,0.6,19600
Jesse Winker,SEA,28,14,0.82,0.345,109,0.9,0.4,13590
Jack Suwinski,PIT,23,19,0.36,0.307,100,3.1,1.8,22244
Lane Thomas,WSN,26,17,0.31,0.286,96,4.1,1.1,16939
Ben Gamel,PIT,30,9,0.49,0.316,97,4.1,0,12160
Tyler O'Neill,STL,27,14,0.37,0.331,101,5.9,1.3,15711
Jorge Soler,MIA,30,13,0.34,0.322,98,1.6,0.5,14221
Tommy Pham,- - -,34,17,0.34,0.311,89,4.5,0.6,2967
Luis Gonzalez,SFG,26,4,0.4,0.268,95,5.2,0.3,20332
Aledmys Diaz,HOU,31,12,0.34,0.308,96,2.1,0.6,15937
Chris Taylor,LAD,31,10,0.28,0.277,93,5.6,1.9,13757
Marcell Ozuna,ATL,31,23,0.25,0.337,89,2.4,-0.6,10324
A.J. Pollock,CHW,34,14,0.33,0.317,92,3.5,0.5,9256
Brandon Marsh,- - -,24,11,0.18,0.287,89,5.6,1.7,20202
Adam Duvall,ATL,33,12,0.21,0.293,87,3.2,0.9,10950
Raimel Tapia,TOR,28,7,0.2,0.286,90,5.3,0.3,14350
Aaron Hicks,NYY,32,8,0.57,0.303,90,5,1.5,5297
Tony Kemp,OAK,30,7,0.65,0.267,91,5.1,1.5,14894
Joey Gallo,- - -,28,19,0.34,0.295,85,4.7,0.6,14128
Robbie Grossman,- - -,32,7,0.43,0.281,82,3.4,-0.3,5254
Chad Pinder,OAK,30,12,0.12,0.28,86,2.9,-0.1,15191
